category_norm,category_title,occurrence_count,first_date,last_date,distinct_member_sets,fill_blank_occurrences,mean_expert_difficulty,mean_user_difficulty_calibrated,mean_failure_rate,mean_average_mistakes,merged_unique_items
CELESTIAL OBJECTS,CELESTIAL OBJECTS,1,2024-12-25,2024-12-25,1,0,2.5,3.3355730879743435,0.441927,2.511601,4
CENTRAL SECTION OF THE BODY,CENTRAL SECTION OF THE BODY,1,2025-04-17,2025-04-17,1,0,2.5,2.262949223159291,0.190783,1.528631,4
CEREAL MASCOTS,CEREAL MASCOTS,1,2025-06-11,2025-06-11,1,0,3.3,3.555418939723568,0.468261,2.738212,4
CHAIN ___,CHAIN ___,1,2024-09-02,2024-09-02,1,1,2.8,2.9301448139473507,0.3612,2.12586,4
CHAMPIONSHIP,CHAMPIONSHIP,1,2026-01-24,2026-01-24,1,0,2.8,2.9298562578470886,0.337386,2.149342,4
CHAMPIONSHIP AWARDS,CHAMPIONSHIP AWARDS,1,2026-05-26,2026-05-26,1,0,1.8,2.2541256643344156,0.231927,1.477335,4
CHANCE TO WIN A PRIZE,CHANCE TO WIN A PRIZE,1,2024-09-22,2024-09-22,1,0,2.8,2.0870508131379033,0.182751,1.334282,4
CHANGE ONE’S TUNE,CHANGE ONE’S TUNE,1,2025-09-17,2025-09-17,1,0,2.0,1.59682528800865,0.106437,0.846564,4
CHANGE STATES OF MATTER,CHANGE STATES OF MATTER,1,2024-07-07,2024-07-07,1,0,4.2,3.522872071390716,0.494972,2.674054,4
CHANNEL,CHANNEL,1,2025-10-29,2025-10-29,1,0,2.5,2.2535815796393437,0.191195,1.517441,4
"CHARACTERS IN ""DICK AND JANE""","CHARACTERS IN ""DICK AND JANE""",1,2026-04-26,2026-04-26,1,0,2.3,2.2387357159388213,0.207333,1.484222,4
CHARACTERS IN BOND MOVIES,CHARACTERS IN BOND MOVIES,1,2024-07-05,2024-07-05,1,0,3.2,3.797740008932649,0.602023,2.883254,4
CHARACTERS IN CAPES,CHARACTERS IN CAPES,1,2025-12-23,2025-12-23,1,0,1.0,3.28005298216522,0.442515,2.447134,4
"CHARACTERS IN “THE EMPIRE STRIKES BACK,"" FAMILIARLY","CHARACTERS IN “THE EMPIRE STRIKES BACK,"" FAMILIARLY",1,2024-09-20,2024-09-20,1,0,2.9,3.258527740059539,0.397055,2.467828,4
CHARACTERS WITH GREEN SKIN,CHARACTERS WITH GREEN SKIN,1,2025-05-22,2025-05-22,1,0,2.3,2.556835788972099,0.259959,1.797588,4
CHARACTERS WITH PET DOGS,CHARACTERS WITH PET DOGS,1,2024-09-30,2024-09-30,1,0,3.7,2.775531762044678,0.301592,2.007577,4
CHECKERS TERMS,CHECKERS TERMS,1,2026-03-21,2026-03-21,1,0,2.3,3.4058799556321273,0.456952,2.577468,4
CHECKOUT LINE IMPULSE BUYS,CHECKOUT LINE IMPULSE BUYS,1,2025-03-14,2025-03-14,1,0,3.3,2.0637707675188834,0.186178,1.30407,4
CHEEKY,CHEEKY,1,2026-04-19,2026-04-19,1,0,2.0,4.069128759518714,0.641363,3.156162,4
CHEERFUL,CHEERFUL,1,2025-09-23,2025-09-23,1,0,2.5,2.562108890960921,0.268901,1.794713,4
CHEESY CORN SNACK UNIT,CHEESY CORN SNACK UNIT,1,2024-11-01,2024-11-01,1,0,2.6,2.205725593384766,0.222587,1.430988,4
CHERISH,CHERISH,1,2024-10-11,2024-10-11,1,0,2.4,2.3353237864873257,0.183224,1.619461,4
CHICKEN DESCRIPTORS,CHICKEN DESCRIPTORS,1,2026-02-18,2026-02-18,1,0,2.3,2.1625134482256683,0.181066,1.422791,4
CHILI PEPPER QUALITY,CHILI PEPPER QUALITY,1,2024-08-27,2024-08-27,1,0,3.4,2.479602705763149,0.211587,1.757099,4
CHINESE DYNASTIES,CHINESE DYNASTIES,1,2025-09-05,2025-09-05,1,0,2.8,3.820132657628876,0.527031,2.98401,4
CHINESE ZODIAC ANIMALS,CHINESE ZODIAC ANIMALS,1,2026-06-15,2026-06-15,1,0,2.0,1.6075322837891504,0.086282,0.879038,4
CHOCOLATE BARS PLUS A LETTER,CHOCOLATE BARS PLUS A LETTER,1,2025-10-19,2025-10-19,1,0,2.7,2.721294514078888,0.335649,1.911117,4
CHRONICLE,CHRONICLE,1,2024-07-09,2024-07-09,1,0,3.5,3.7135094402923485,0.575852,2.812513,4
CHURCH OF ENGLAND WEDDING VOW VERBS,CHURCH OF ENGLAND WEDDING VOW VERBS,1,2024-10-28,2024-10-28,1,0,2.3,3.2393500582755674,0.399943,2.442875,4
CIGARETTE BRANDS,CIGARETTE BRANDS,1,2026-02-13,2026-02-13,1,0,2.4,2.9716742946181745,0.366916,2.167926,4
CINDERELLA,CINDERELLA,1,2025-10-31,2025-10-31,1,0,2.3,1.8710839549894878,0.145715,1.122836,4
CIRCULAR THINGS,CIRCULAR THINGS,1,2025-12-01,2025-12-01,1,0,3.3,3.172793550776307,0.429061,2.33718,4
CITIES,CITIES,1,2026-03-08,2026-03-08,1,0,2.8,3.4363973706694626,0.48459,2.584942,4
CITRUS SODAS,CITRUS SODAS,1,2024-12-13,2024-12-13,1,0,1.5,2.7823623716590102,0.303154,2.013874,4
CLANDESTINE,CLANDESTINE,1,2026-06-02,2026-06-02,1,0,2.0,1.9906148429434527,0.162259,1.243819,4
CLASSIC '90S ACTION FILMS,CLASSIC '90S ACTION FILMS,1,2025-11-14,2025-11-14,1,0,2.2,3.3173671101665545,0.43138,2.501201,4
CLASSIC ATARI GAMES,CLASSIC ATARI GAMES,1,2025-01-12,2025-01-12,1,0,3.8,4.086945360420125,0.622421,3.195603,4
CLASSIC BARBERSHOP SUPPLIES,CLASSIC BARBERSHOP SUPPLIES,1,2024-08-27,2024-08-27,1,0,3.4,2.479602705763149,0.211587,1.757099,4
CLASSIC COCKTAIL TYPES,CLASSIC COCKTAIL TYPES,1,2024-08-21,2024-08-21,1,0,3.4,3.93173086026028,0.58474,3.054701,4
CLASSIC COLLECTION ITEMS,CLASSIC COLLECTION ITEMS,1,2024-09-02,2024-09-02,1,0,2.8,2.9301448139473507,0.3612,2.12586,4
CLASSIC COMIC STRIPS,CLASSIC COMIC STRIPS,1,2026-02-22,2026-02-22,1,0,3.0,2.359138356207734,0.248707,1.581378,4
CLASSIC FILMS,CLASSIC FILMS,1,2026-04-27,2026-04-27,1,0,3.0,3.647664762450059,0.510224,2.802383,4
CLASSIC HOLLYWOOD ACTORS,CLASSIC HOLLYWOOD ACTORS,1,2026-01-18,2026-01-18,1,0,1.7,2.257844735277249,0.159355,1.554186,4
CLASSIC JOKE STAPLES,CLASSIC JOKE STAPLES,1,2024-12-16,2024-12-16,1,0,3.3,3.801286120044301,0.547504,2.941853,4
CLASSIC KID GIFTS,CLASSIC KID GIFTS,1,2026-03-04,2026-03-04,1,0,2.0,2.0533810096196947,0.165819,1.312475,4
CLASSIC LAWN ORNAMENTS,CLASSIC LAWN ORNAMENTS,1,2024-06-16,2024-06-16,1,0,2.5,2.3442924925072126,0.227135,1.585869,4
CLASSIC MOVIE THEATER EQUIPMENT,CLASSIC MOVIE THEATER EQUIPMENT,1,2024-08-22,2024-08-22,1,0,2.8,2.9376385811053565,0.364408,2.131274,4
CLASSIC NAUTICAL TATTOOS,CLASSIC NAUTICAL TATTOOS,1,2025-02-24,2025-02-24,1,0,4.0,3.723747966982363,0.514668,2.885477,4
CLASSIC SLAPSTICK PROPS,CLASSIC SLAPSTICK PROPS,1,2026-06-14,2026-06-14,1,0,2.2,2.479187254510362,0.255404,1.712804,4
CLASSIC TOYS,CLASSIC TOYS,1,2025-06-19,2025-06-19,1,0,2.0,2.3524581086576957,0.209584,1.612815,4
CLASSIC WEDDING GIFTS,CLASSIC WEDDING GIFTS,1,2026-06-24,2026-06-24,1,0,2.5,2.529045750569167,0.243632,1.781941,4
"CLEAN UP, AS A PHOTOGRAPH","CLEAN UP, AS A PHOTOGRAPH",1,2025-09-04,2025-09-04,1,0,2.3,2.27566307446842,0.201044,1.532998,4
CLEANING SUPPLIES,CLEANING SUPPLIES,1,2026-01-28,2026-01-28,1,0,2.3,2.894525518462614,0.341293,2.104785,4
CLEAR AS ___,CLEAR AS ___,1,2025-03-25,2025-03-25,1,1,2.4,2.0579709637325956,0.177094,1.306481,4
CLOSE IN ON,CLOSE IN ON,1,2025-07-16,2025-07-16,1,0,2.8,2.7506907322206273,0.299359,1.981229,4
CLOSE-FITTING,CLOSE-FITTING,1,2024-11-17,2024-11-17,1,0,3.3,2.919901941532934,0.334083,2.141192,4
CLUES AT A CRIME SCENE,CLUES AT A CRIME SCENE,1,2025-04-28,2025-04-28,1,0,2.8,1.9283188836474567,0.124859,1.209544,4
CLUNKER,CLUNKER,1,2024-10-18,2024-10-18,1,0,2.8,1.7861328652434123,0.123665,1.047145,4
COASTAL LANDFORMS,COASTAL LANDFORMS,1,2026-04-04,2026-04-04,1,0,2.0,2.360276936000936,0.239245,1.59215,4
COCKTAIL GARNISHES,COCKTAIL GARNISHES,1,2025-10-27,2025-10-27,1,0,2.3,2.16580316159763,0.179189,1.428453,4
COCKTAIL GLASSES,COCKTAIL GLASSES,1,2026-04-03,2026-04-03,1,0,2.0,3.3702606601473906,0.456428,2.53701,4
COCKTAIL-MAKING VERBS,COCKTAIL-MAKING VERBS,1,2024-11-20,2024-11-20,1,0,2.8,2.178112860537416,0.202477,1.419328,4
COCKTAILS,COCKTAILS,1,2025-11-21,2025-11-21,1,0,3.5,3.631386547986791,0.50357,2.790308,4
COHORT MEMBER,COHORT MEMBER,1,2026-04-08,2026-04-08,1,0,2.0,1.8458848374747503,0.124543,1.115015,4
"COLLECT, AS FROM AN ORCHARD","COLLECT, AS FROM AN ORCHARD",1,2025-02-21,2025-02-21,1,0,4.0,3.4897055027582056,0.487757,2.643109,4
COLLECTIVE NOUNS FOR BIRDS,COLLECTIVE NOUNS FOR BIRDS,1,2025-10-30,2025-10-30,1,0,3.3,2.827132024443618,0.319966,2.048572,4
COLLEGE FOOTBALL TEAM MEMBERS,COLLEGE FOOTBALL TEAM MEMBERS,1,2024-11-16,2024-11-16,1,0,2.8,3.329682893120503,0.4174,2.529351,4
COLLIDE WITH,COLLIDE WITH,1,2026-02-05,2026-02-05,1,0,1.5,1.6105369176403714,0.092837,0.87594,4
COLLOQUIAL SUFFIXES,COLLOQUIAL SUFFIXES,1,2024-12-06,2024-12-06,1,0,2.8,2.8389784691622006,0.357347,2.024821,4
COLOR ANAGRAMS,COLOR ANAGRAMS,1,2025-04-26,2025-04-26,1,0,3.3,2.5193782520655135,0.299045,1.715405,4
COLOR TYPES,COLOR TYPES,1,2024-09-22,2024-09-22,1,0,2.8,2.0870508131379033,0.182751,1.334282,4
COLORS MINUS LAST LETTER,COLORS MINUS LAST LETTER,1,2025-12-22,2025-12-22,1,0,2.0,2.494227806664073,0.264537,1.720976,4
COLORS PLUS A LETTER,COLORS PLUS A LETTER,1,2026-06-26,2026-06-26,1,0,2.8,1.8149780455310371,0.127108,1.07689,4
COLOSSAL,COLOSSAL,1,2025-07-24,2025-07-24,1,0,2.8,2.4095331146576884,0.228116,1.659951,4
"COMBINE, AS BAKING INGREDIENTS","COMBINE, AS BAKING INGREDIENTS",1,2025-07-05,2025-07-05,1,0,2.3,2.095560610660988,0.162941,1.363883,4
COME ACROSS AS,COME ACROSS AS,1,2024-07-13,2024-07-13,1,0,2.5,2.246231221386588,0.210742,1.489437,4
COMEDIC ROUTINE,COMEDIC ROUTINE,1,2025-04-23,2025-04-23,1,0,2.8,1.5506328450549798,0.098785,0.801069,4
COMEDY SUBGENRES,COMEDY SUBGENRES,1,2025-12-26,2025-12-26,1,0,2.7,3.1135065710559338,0.376958,2.32107,4
COMMENT AFTER AN INSULT,COMMENT AFTER AN INSULT,1,2025-02-03,2025-02-03,1,0,3.8,3.1390785517243227,0.39749,2.32996,4
COMMENTARY ABOUT YOUR CONNECTIONS RESULTS,COMMENTARY ABOUT YOUR CONNECTIONS RESULTS,1,2026-02-21,2026-02-21,1,0,1.8,2.5273283202856804,0.224175,1.799422,4
COMMIT A BASKETBALL INFRACTION,COMMIT A BASKETBALL INFRACTION,1,2026-05-07,2026-05-07,1,0,1.7,2.6262926329369436,0.277488,1.859973,4
COMMIT TO PAPER,COMMIT TO PAPER,1,2025-05-08,2025-05-08,1,0,4.0,2.480242396395055,0.266818,1.702604,4
COMMON COMPONENTS OF BOARD GAMES,COMMON COMPONENTS OF BOARD GAMES,1,2025-08-31,2025-08-31,1,0,3.3,3.4483168235579917,0.488855,2.594391,4
COMMON FLAG SYMBOLS,COMMON FLAG SYMBOLS,1,2026-01-07,2026-01-07,1,0,1.8,1.9255758624052082,0.134261,1.196986,4
COMMON PERFUME INGREDIENTS,COMMON PERFUME INGREDIENTS,1,2024-09-30,2024-09-30,1,0,3.7,2.775531762044678,0.301592,2.007577,4
COMMON PROMO ITEMS,COMMON PROMO ITEMS,1,2026-05-25,2026-05-25,1,0,3.0,2.955499508395663,0.358612,2.15762,4
COMMON SWAG ITEMS,COMMON SWAG ITEMS,1,2025-05-30,2025-05-30,1,0,2.8,2.900936331099757,0.344908,2.108546,4
COMMON VIDEO GAME FEATURES,COMMON VIDEO GAME FEATURES,1,2025-05-11,2025-05-11,1,0,2.8,2.710493650651314,0.32251,1.911829,4
COMMONLY STRIPED THINGS,COMMONLY STRIPED THINGS,1,2026-06-27,2026-06-27,1,0,2.5,3.699199124738877,0.5452723224206825,2.8266278558013673,4
COMMUNICATE THROUGH WRITING,COMMUNICATE THROUGH WRITING,1,2024-11-06,2024-11-06,1,0,2.4,1.6256609077025914,0.090425,0.895753,4
COMPACT MASS,COMPACT MASS,1,2026-02-11,2026-02-11,1,0,2.5,2.9219852818110295,0.349113,2.128559,4
COMPANIES NAMED AFTER ANIMALS,COMPANIES NAMED AFTER ANIMALS,1,2024-12-08,2024-12-08,1,0,3.0,2.461017780787547,0.262495,1.684808,4
COMPANIES WITH “E” REMOVED,COMPANIES WITH “E” REMOVED,1,2025-04-04,2025-04-04,1,0,2.5,2.002809814759039,0.165115,1.254994,4
COMPANY,COMPANY,1,2025-06-21,2025-06-21,1,0,3.5,4.17297592810754,0.650129,3.266878,4
COMPARATIVELY SMALL,COMPARATIVELY SMALL,1,2025-05-06,2025-05-06,1,0,2.3,1.8494318177312825,0.160493,1.083146,4
COMPETE IN A MODERN PENTATHLON,COMPETE IN A MODERN PENTATHLON,1,2025-06-01,2025-06-01,1,0,2.5,2.8021119507742234,0.329852,2.009899,4
COMPETITION,COMPETITION,1,2026-04-07,2026-04-07,1,0,2.0,2.761641957712494,0.295105,1.998083,4
COMPLAIN,COMPLAIN,1,2024-11-12,2024-11-12,1,0,3.0,2.341674628127728,0.243283,1.566709,4
COMPLAINT HOMOPHONES,COMPLAINT HOMOPHONES,1,2024-12-20,2024-12-20,1,0,1.5,1.3969002369160588,0.070396,0.65258,4
COMPLETE TURN,COMPLETE TURN,1,2025-12-01,2025-12-01,1,0,3.3,3.172793550776307,0.429061,2.33718,4
COMPONENT OF AN ARTS AND CRAFTS PROJECT,COMPONENT OF AN ARTS AND CRAFTS PROJECT,1,2025-12-18,2025-12-18,1,0,1.7,1.898899198593949,0.147915,1.152639,4
COMPONENTS OF A BRIDE’S ENSEMBLE,COMPONENTS OF A BRIDE’S ENSEMBLE,1,2025-08-14,2025-08-14,1,0,1.8,1.9415020731919517,0.139944,1.209627,4
COMPONENTS OF A FASHION SHOW,COMPONENTS OF A FASHION SHOW,1,2026-06-27,2026-06-27,1,0,2.5,3.699199124738877,0.5452723224206825,2.8266278558013673,4
COMPONENTS OF A KID’S BEDTIME ROUTINE,COMPONENTS OF A KID’S BEDTIME ROUTINE,1,2026-01-16,2026-01-16,1,0,1.8,2.9512406984821595,0.375116,2.136216,4
COMPONENTS OF A MYSTERY,COMPONENTS OF A MYSTERY,1,2025-02-01,2025-02-01,1,0,2.4,1.9855564197400666,0.127023,1.273235,4
COMPONENTS OF A PIZZA,COMPONENTS OF A PIZZA,1,2025-04-17,2025-04-17,1,0,2.5,2.262949223159291,0.190783,1.528631,4
COMPONENTS OF A RECORD PLAYER,COMPONENTS OF A RECORD PLAYER,1,2026-01-28,2026-01-28,1,0,2.3,2.894525518462614,0.341293,2.104785,4
COMPONENTS OF A SALAD,COMPONENTS OF A SALAD,1,2025-06-26,2025-06-26,1,0,2.3,3.1676377833463265,0.393526,2.366783,4
COMPONENTS OF A WEIGHTLIFTING SETUP,COMPONENTS OF A WEIGHTLIFTING SETUP,1,2026-03-22,2026-03-22,1,0,2.0,2.095608413629405,0.176335,1.350544,4
COMPONENTS OF EYEGLASSES,COMPONENTS OF EYEGLASSES,1,2024-07-10,2024-07-10,1,0,2.7,2.1733299562610875,0.183498,1.432804,4
COMPONENTS OF METAPHORS FOR THINGS THAT CAN’T BE UNDONE,COMPONENTS OF METAPHORS FOR THINGS THAT CAN’T BE UNDONE,1,2025-02-28,2025-02-28,1,0,2.8,1.7346768808946038,0.135025,0.976582,4
COMPONENTS OF ONE’S GRADE,COMPONENTS OF ONE’S GRADE,1,2025-06-19,2025-06-19,1,0,2.0,2.3524581086576957,0.209584,1.612815,4
COMPONENTS OF WHAC-A-MOLE,COMPONENTS OF WHAC-A-MOLE,1,2026-04-06,2026-04-06,1,0,3.3,3.455601126799843,0.478262,2.613365,4
COMPOSITE,COMPOSITE,1,2024-09-28,2024-09-28,1,0,4.2,2.742565965879518,0.30223,1.96901,4
COMPRISED OF SOLFEGE (DO-RE-MI),COMPRISED OF SOLFEGE (DO-RE-MI),1,2025-12-25,2025-12-25,1,0,2.5,3.3228010039582334,0.450645,2.488188,4
COMPUTER INPUT DEVICES,COMPUTER INPUT DEVICES,1,2025-03-09,2025-03-09,1,0,2.8,1.7128717741374646,0.112934,0.973585,4
COMPUTER PERIPHERALS,COMPUTER PERIPHERALS,1,2026-06-25,2026-06-25,1,0,1.0,1.3571107842956092,0.056975,0.620221,4
CON GAME,CON GAME,1,2025-07-05,2025-07-05,1,0,2.3,2.095560610660988,0.162941,1.363883,4
CONCAVITY,CONCAVITY,1,2024-10-04,2024-10-04,1,0,2.3,1.5320557423833003,0.103061,0.775419,4
CONCEALING COVER,CONCEALING COVER,1,2026-03-06,2026-03-06,1,0,3.5,2.687705541034548,0.262427,1.945693,4
CONCEPTS FROM “SEINFELD”,CONCEPTS FROM “SEINFELD”,1,2025-07-21,2025-07-21,1,0,1.5,2.337580955741483,0.246713,1.558569,4
CONCERNS FOR A DENTIST,CONCERNS FOR A DENTIST,1,2024-11-13,2024-11-13,1,0,3.2,2.8962047063713667,0.327611,2.120399,4
CONCOCTION,CONCOCTION,1,2024-12-20,2024-12-20,1,0,1.5,1.3969002369160588,0.070396,0.65258,4
CONDITIONS FOR COLLECTIBLES,CONDITIONS FOR COLLECTIBLES,1,2024-07-14,2024-07-14,1,0,2.6,1.9200715678782247,0.156635,1.168279,4
CONDUIT,CONDUIT,1,2026-05-17,2026-05-17,1,0,1.5,2.902125321296017,0.306552,2.14827,4
CONFECTION,CONFECTION,1,2025-12-10,2025-12-10,1,0,1.8,1.7777264959610841,0.09873,1.062408,4
CONFER,CONFER,1,2025-10-25,2025-10-25,1,0,2.3,2.978057294619148,0.352874,2.189312,4
CONICAL THINGS,CONICAL THINGS,1,2026-02-23,2026-02-23,1,0,1.5,2.0705335838325514,0.192379,1.30565,4
CONSERVE,CONSERVE,1,2025-02-04,2025-02-04,1,0,3.2,2.153999304978182,0.18124,1.412821,4
CONSIDERATIONS FOR MOVIE RATINGS,CONSIDERATIONS FOR MOVIE RATINGS,1,2025-06-15,2025-06-15,1,0,2.3,3.09211430811694,0.404028,2.269387,4
CONSOLE INPUTS,CONSOLE INPUTS,1,2024-09-14,2024-09-14,1,0,3.4,2.7702586600558563,0.312363,1.990739,4
CONSTITUTION,CONSTITUTION,1,2024-07-21,2024-07-21,1,0,2.7,2.6108079477493966,0.310177,1.809468,4
CONSTRUCT,CONSTRUCT,1,2026-02-12,2026-02-12,1,0,2.5,2.731125411820039,0.32038,1.937697,4
CONSTRUCTION EQUIPMENT,CONSTRUCTION EQUIPMENT,1,2026-03-01,2026-03-01,1,0,2.0,1.450925413531054,0.065457,0.719678,4
CONSUMED,CONSUMED,1,2025-03-31,2025-03-31,1,0,2.2,1.8237746608646233,0.145035,1.069084,4
"CONSUMER DESIRE, COLLECTIVELY","CONSUMER DESIRE, COLLECTIVELY",1,2024-06-26,2024-06-26,1,0,3.3,3.210815162710212,0.393307,2.41668,4
CONTACT INFO,CONTACT INFO,1,2025-09-12,2025-09-12,1,0,2.5,2.1267785564718507,0.182378,1.380364,4
CONTACT VIA TELEPHONE,CONTACT VIA TELEPHONE,1,2025-02-27,2025-02-27,1,0,3.3,1.9597184807383035,0.135854,1.234676,4
CONTAIN,CONTAIN,1,2025-12-12,2025-12-12,1,0,2.3,2.3520583020127543,0.234784,1.587155,4
CONTAINERS,CONTAINERS,1,2025-12-20,2025-12-20,1,0,2.3,2.5671351558037356,0.261944,1.807453,4
CONTAINERS FOR SHIPPING,CONTAINERS FOR SHIPPING,1,2025-12-28,2025-12-28,1,0,0.5,2.2242105666991328,0.192538,1.482305,4
CONTEMPLATE,CONTEMPLATE,1,2025-01-24,2025-01-24,1,0,2.8,2.196288418274394,0.203908,1.438809,4
CONTEMPORARY COMPOSERS,CONTEMPORARY COMPOSERS,1,2025-08-30,2025-08-30,1,0,2.5,3.7283892006432016,0.533047,2.872438,4
CONTENT SORTING OPTIONS ONLINE,CONTENT SORTING OPTIONS ONLINE,1,2026-06-23,2026-06-23,1,0,2.8,2.564878855694459,0.262127,1.804674,4
CONTENTION,CONTENTION,1,2026-02-04,2026-02-04,1,0,2.0,3.1812755356632225,0.38682,2.38918,4
CONTENTS OF A POD,CONTENTS OF A POD,1,2025-06-18,2025-06-18,1,0,3.0,2.6930725106704427,0.34448,1.869815,4
CONTINUOUS,CONTINUOUS,1,2024-09-09,2024-09-09,1,0,3.3,2.751182668222881,0.300626,1.980528,4
CONTORTED,CONTORTED,1,2024-11-09,2024-11-09,1,0,2.0,1.934844423408801,0.148581,1.19333,4
CONTROLLED WITH UP/DOWN BUTTONS,CONTROLLED WITH UP/DOWN BUTTONS,1,2026-05-07,2026-05-07,1,0,1.7,2.6262926329369436,0.277488,1.859973,4
CONTRONYMS (WORDS THAT CAN MEAN OPPOSITE THINGS),CONTRONYMS (WORDS THAT CAN MEAN OPPOSITE THINGS),1,2025-08-02,2025-08-02,1,0,3.3,3.304322983802909,0.415721,2.501852,4
CONVENIENTLY LOCATED,CONVENIENTLY LOCATED,1,2025-08-17,2025-08-17,1,0,2.0,2.949617135845746,0.322919,2.186545,4
COOK IN A PAN,COOK IN A PAN,1,2024-09-01,2024-09-01,1,0,3.4,3.121319314385012,0.391337,2.31568,4
COOK WITH DRY HEAT,COOK WITH DRY HEAT,1,2026-03-10,2026-03-10,1,0,2.8,2.807250335306598,0.275883,2.06978,4
COOK WITH HEAT AND WATER,COOK WITH HEAT AND WATER,1,2024-09-30,2024-09-30,1,0,3.7,2.775531762044678,0.301592,2.007577,4
COOKIE CUTTER SHAPES IN “SQUID GAME”,COOKIE CUTTER SHAPES IN “SQUID GAME”,1,2025-02-20,2025-02-20,1,0,4.0,1.9600244197361716,0.122671,1.248211,4
COOKING CONCOCTIONS,COOKING CONCOCTIONS,1,2025-04-29,2025-04-29,1,0,3.3,2.2436203101661465,0.167167,1.530008,4
COOKING VESSELS,COOKING VESSELS,1,2024-12-21,2024-12-21,1,0,3.0,2.861504097025114,0.277064,2.131021,4
"COOL, IN ’80S SLANG","COOL, IN ’80S SLANG",1,2024-10-10,2024-10-10,1,0,3.4,3.1278535455951593,0.385581,2.328954,4
COPACETIC,COPACETIC,1,2025-06-03,2025-06-03,1,0,2.3,2.849980105057125,0.334969,2.059857,4
COPY___,COPY___,1,2025-10-22,2025-10-22,1,1,2.8,3.113204977782467,0.419168,2.278513,4
CORE EXERCISES,CORE EXERCISES,1,2024-11-02,2024-11-02,1,0,3.0,3.378852157289224,0.432908,2.570415,4
CORN-Y THINGS,CORN-Y THINGS,1,2025-08-09,2025-08-09,1,0,2.8,2.631841253852823,0.307116,1.836729,4
CORNERS,CORNERS,1,2025-01-20,2025-01-20,1,0,3.0,2.5960637739998704,0.276398,1.826283,4
CORPORATE DEPARTMENTS,CORPORATE DEPARTMENTS,1,2025-01-09,2025-01-09,1,0,2.5,1.5469928662962547,0.09515,0.800516,4
CORRESPOND WELL WITH,CORRESPOND WELL WITH,1,2025-02-16,2025-02-16,1,0,3.0,3.293525596954856,0.445268,2.459882,4
CORRESPONDENCE,CORRESPONDENCE,1,2025-07-03,2025-07-03,1,0,2.8,2.3518262403297125,0.23072,1.590952,4
COST,COST,1,2025-11-06,2025-11-06,1,0,2.8,2.3941153536259243,0.172426,1.697902,4
COUNTED IN DOCUMENT WORD COUNTS,COUNTED IN DOCUMENT WORD COUNTS,1,2026-06-10,2026-06-10,1,0,1.5,2.5299340166368403,0.250994,1.775601,4
COUNTRIES MINUS FIRST LETTER,COUNTRIES MINUS FIRST LETTER,1,2024-12-10,2024-12-10,1,0,3.8,1.9005088549122773,0.160755,1.141651,4
COURT FILING,COURT FILING,1,2025-01-19,2025-01-19,1,0,3.0,2.6011169823339744,0.28358,1.824915,4
COVER WITH A THICK LAYER,COVER WITH A THICK LAYER,1,2024-08-21,2024-08-21,1,0,3.4,3.93173086026028,0.58474,3.054701,4
CRABBY,CRABBY,1,2025-10-16,2025-10-16,1,0,2.3,2.847673394544791,0.35132,2.040852,4
CRATER,CRATER,1,2025-02-18,2025-02-18,1,0,2.5,1.7264764989489083,0.105464,0.996708,4
CRAVING,CRAVING,1,2026-02-28,2026-02-28,1,0,2.8,2.820188425994846,0.34436,2.016189,4
CREAMY SALAD DRESSINGS,CREAMY SALAD DRESSINGS,1,2026-06-16,2026-06-16,1,0,2.0,2.2344447476647464,0.215421,1.471197,4
CREATE,CREATE,1,2025-12-25,2025-12-25,1,0,2.5,3.3228010039582334,0.450645,2.488188,4
CREATE SOME VOLUME/TEXTURE IN HAIR,CREATE SOME VOLUME/TEXTURE IN HAIR,1,2025-02-22,2025-02-22,1,0,3.0,2.4449611982687576,0.229145,1.699684,4
"CREATE, AS RESULTS","CREATE, AS RESULTS",1,2024-07-27,2024-07-27,1,0,2.6,2.567083876255798,0.279211,1.790127,4
CREDENTIALS FOR ENTRY,CREDENTIALS FOR ENTRY,1,2026-02-02,2026-02-02,1,0,2.5,3.2540281770141903,0.408,2.451706,4
CREDIT CARD INFO,CREDIT CARD INFO,1,2025-07-13,2025-07-13,1,0,2.4,2.415341609892779,0.248499,1.646251,4
CRIME ORGANIZATION,CRIME ORGANIZATION,1,2025-06-09,2025-06-09,1,0,2.5,2.659353165894057,0.251502,1.923997,4
CRITICIZE HARSHLY,CRITICIZE HARSHLY,1,2025-08-31,2025-08-31,1,0,3.3,3.4483168235579917,0.488855,2.594391,4
CRUNCHY SNACK ITEM,CRUNCHY SNACK ITEM,1,2026-06-26,2026-06-26,1,0,2.8,1.8149780455310371,0.127108,1.07689,4
CRUSH INTO A COMPACT SHAPE,CRUSH INTO A COMPACT SHAPE,1,2025-01-04,2025-01-04,1,0,3.0,2.581596857467162,0.28127,1.804766,4
CUDDLE,CUDDLE,1,2025-12-04,2025-12-04,1,0,2.0,1.6513719515518297,0.094941,0.920819,4
CULTURAL SYMBOLS OF THE U.S.,CULTURAL SYMBOLS OF THE U.S.,1,2026-02-05,2026-02-05,1,0,1.5,1.6105369176403714,0.092837,0.87594,4
CURRENCIES PLUS A LETTER,CURRENCIES PLUS A LETTER,1,2026-05-12,2026-05-12,1,0,3.3,3.9957268669421566,0.62178,3.091292,4
